timestamp,price,portfolio_value,cash,position,action
2025-07-23 00:00:00,119792.7,100000.0,[98136.56550043],[0.00079139],[0.82413062]
2025-07-23 00:15:00,119681.4,100000.0,[98136.56550043],[0.00079139],[-0.74031996]
2025-07-23 00:30:00,119857.5,100000.0,[98136.56550043],[0.00079139],[0.61985401]
2025-07-23 00:45:00,119587.5,100000.0,[98136.56550043],[0.00079139],[0.3752819]
2025-07-23 01:00:00,119424.7,100000.0,[98136.56550043],[0.00079139],[-0.99343156]
2025-07-23 01:15:00,119516.2,100000.0,[98136.56550043],[0.00079139],[0.49092044]
2025-07-23 01:30:00,119592.0,100000.0,[98136.56550043],[0.00079139],[-0.20175263]
2025-07-23 01:45:00,119521.8,100000.0,[98136.56550043],[0.00079139],[0.20326952]
2025-07-23 02:00:00,119151.8,100000.0,[98136.56550043],[0.00079139],[-0.90876213]
2025-07-23 02:15:00,119339.8,100000.0,[98136.56550043],[0.00079139],[0.70174898]
2025-07-23 02:30:00,119019.0,100000.0,[98136.56550043],[0.00079139],[0.29439699]
2025-07-23 02:45:00,119096.7,100000.0,[98136.56550043],[0.00079139],[0.27204638]
2025-07-23 03:00:00,118982.0,100000.0,[98136.56550043],[0.00079139],[0.33098598]
2025-07-23 03:15:00,118948.4,100000.0,[98136.56550043],[0.00079139],[0.38217586]
2025-07-23 03:30:00,118769.3,100000.0,[98136.56550043],[0.00079139],[-0.96444147]
2025-07-23 03:45:00,118620.8,100000.0,[98136.56550043],[0.00079139],[0.06764074]
2025-07-23 04:00:00,118700.0,100000.0,[98136.56550043],[0.00079139],[-0.53345632]
2025-07-23 04:15:00,118820.1,100000.0,[98136.56550043],[0.00079139],[0.15598637]
2025-07-23 04:30:00,118783.4,100000.0,[98136.56550043],[0.00079139],[0.48450781]
2025-07-23 04:45:00,118976.8,100000.0,[98136.56550043],[0.00079139],[0.37087216]
2025-07-23 05:00:00,118875.6,100000.0,[98136.56550043],[0.00079139],[0.01458043]
2025-07-23 05:15:00,118743.0,100000.0,[98136.56550043],[0.00079139],[-0.12747414]
2025-07-23 05:30:00,118643.5,100000.0,[98136.56550043],[0.00079139],[0.6567377]
2025-07-23 05:45:00,118618.7,100000.0,[98136.56550043],[0.00079139],[-0.56304161]
2025-07-23 06:00:00,118523.9,100000.0,[98136.56550043],[0.00079139],[0.64257591]
2025-07-23 06:15:00,118576.6,100000.0,[98136.56550043],[0.00079139],[0.88361724]
2025-07-23 06:30:00,118407.8,100000.0,[98136.56550043],[0.00079139],[-0.77505607]
2025-07-23 06:45:00,118400.1,100000.0,[98136.56550043],[0.00079139],[-0.15744269]
2025-07-23 07:00:00,118464.4,100000.0,[98136.56550043],[0.00079139],[-0.49874061]
2025-07-23 07:15:00,118514.5,100000.0,[98136.56550043],[0.00079139],[-0.18503754]
2025-07-23 07:30:00,118428.0,100000.0,[98136.56550043],[0.00079139],[-0.48883752]
2025-07-23 07:45:00,118327.0,100000.0,[98136.56550043],[0.00079139],[-0.38672649]
2025-07-23 08:00:00,118525.1,100000.0,[98136.56550043],[0.00079139],[0.61991119]
2025-07-23 08:15:00,118336.4,100000.0,[98136.56550043],[0.00079139],[-0.141067]
2025-07-23 08:30:00,118270.1,100000.0,[98136.56550043],[0.00079139],[0.65598597]
2025-07-23 08:45:00,118388.0,100000.0,[98136.56550043],[0.00079139],[0.33875999]
2025-07-23 09:00:00,118238.5,100000.0,[98136.56550043],[0.00079139],[0.62695145]
2025-07-23 09:15:00,117948.2,100000.0,[98136.56550043],[0.00079139],[0.39354245]
2025-07-23 09:30:00,118044.7,100000.0,[98136.56550043],[0.00079139],[-0.08493233]
2025-07-23 09:45:00,118002.1,100000.0,[98136.56550043],[0.00079139],[0.57469592]
2025-07-23 10:00:00,117805.7,100000.0,[98136.56550043],[0.00079139],[-0.25157352]
2025-07-23 10:15:00,118229.0,100000.0,[98136.56550043],[0.00079139],[-0.19404815]
2025-07-23 10:30:00,118240.9,100000.0,[98136.56550043],[0.00079139],[0.85756899]
2025-07-23 10:45:00,118331.1,100000.0,[98136.56550043],[0.00079139],[-0.54812277]
2025-07-23 11:00:00,118119.6,100000.0,[98136.56550043],[0.00079139],[0.41200363]
2025-07-23 11:15:00,118554.6,100000.0,[98136.56550043],[0.00079139],[-0.31490779]
2025-07-23 11:30:00,118524.8,100000.0,[98136.56550043],[0.00079139],[-0.17149278]
2025-07-23 11:45:00,118484.7,100000.0,[98136.56550043],[0.00079139],[-0.1064222]
2025-07-23 12:00:00,118614.7,100000.0,[98136.56550043],[0.00079139],[-0.76034117]
2025-07-23 12:15:00,118507.2,100000.0,[98136.56550043],[0.00079139],[0.59770629]
2025-07-23 12:30:00,118211.2,100000.0,[98136.56550043],[0.00079139],[0.87992381]
2025-07-23 12:45:00,117932.6,100000.0,[98136.56550043],[0.00079139],[-0.94919483]
2025-07-23 13:00:00,118077.1,100000.0,[98136.56550043],[0.00079139],[0.46068711]
2025-07-23 13:15:00,118034.2,100000.0,[98136.56550043],[0.00079139],[0.79671427]
2025-07-23 13:30:00,117562.5,100000.0,[98136.56550043],[0.00079139],[-0.60674252]
2025-07-23 14:00:00,117650.2,100000.0,[98136.56550043],[0.00079139],[-0.85800126]
2025-07-23 14:15:00,117962.0,100000.0,[98136.56550043],[0.00079139],[0.26507837]
2025-07-23 14:30:00,117867.9,100000.0,[98136.56550043],[0.00079139],[0.12790088]
2025-07-23 14:45:00,118170.0,100000.0,[98136.56550043],[0.00079139],[0.99404058]
2025-07-23 15:00:00,117781.0,100000.0,[98136.56550043],[0.00079139],[-0.21206056]
2025-07-23 15:15:00,118030.5,100000.0,[98136.56550043],[0.00079139],[0.73254675]
2025-07-23 15:30:00,118230.6,100000.0,[98136.56550043],[0.00079139],[-0.20346066]
2025-07-23 15:45:00,118531.0,100000.0,[98136.56550043],[0.00079139],[0.48453982]
2025-07-23 16:00:00,117847.7,100000.0,[98136.56550043],[0.00079139],[-0.00811077]
2025-07-23 16:15:00,117842.6,100000.0,[98136.56550043],[0.00079139],[-0.25951469]
2025-07-23 16:30:00,117736.0,100000.0,[98136.56550043],[0.00079139],[-0.69625054]
2025-07-23 16:45:00,117671.2,100000.0,[98136.56550043],[0.00079139],[0.20870719]
2025-07-23 17:00:00,117510.5,100000.0,[98136.56550043],[0.00079139],[-0.03621381]
2025-07-23 17:15:00,117596.8,100000.0,[98136.56550043],[0.00079139],[0.12414808]
2025-07-23 17:30:00,117814.6,100000.0,[98136.56550043],[0.00079139],[-0.46335985]
2025-07-23 17:45:00,118078.9,100000.0,[98136.56550043],[0.00079139],[-0.78897089]
2025-07-23 18:00:00,118069.6,100000.0,[98136.56550043],[0.00079139],[0.38581883]
2025-07-23 18:15:00,118126.9,100000.0,[98136.56550043],[0.00079139],[0.44307809]
2025-07-23 18:30:00,118138.4,100000.0,[98136.56550043],[0.00079139],[0.81118774]
2025-07-23 18:45:00,118334.8,100000.0,[98136.56550043],[0.00079139],[0.01734085]
2025-07-23 19:00:00,118304.8,100000.0,[98136.56550043],[0.00079139],[-0.87947317]
2025-07-23 19:15:00,118300.1,100000.0,[98136.56550043],[0.00079139],[0.57232202]
2025-07-23 19:30:00,118220.0,100000.0,[98136.56550043],[0.00079139],[-0.57265268]
2025-07-23 19:45:00,118343.4,100000.0,[98136.56550043],[0.00079139],[0.54350023]
2025-07-23 20:00:00,118423.3,100000.0,[98136.56550043],[0.00079139],[0.75355272]
2025-07-23 20:15:00,117982.4,100000.0,[98136.56550043],[0.00079139],[0.05097254]
2025-07-23 20:30:00,117844.8,100000.0,[98136.56550043],[0.00079139],[-0.77653866]
2025-07-23 20:45:00,117841.3,100000.0,[98136.56550043],[0.00079139],[-0.68449018]
2025-07-23 21:00:00,118001.0,100000.0,[98136.56550043],[0.00079139],[-0.02810591]
2025-07-23 21:15:00,117507.7,100000.0,[98136.56550043],[0.00079139],[0.01684778]
2025-07-23 21:30:00,117793.2,100000.0,[98136.56550043],[0.00079139],[0.64674544]
2025-07-23 21:45:00,118143.9,100000.0,[98136.56550043],[0.00079139],[-0.50731503]
2025-07-23 22:00:00,118246.5,100000.0,[98136.56550043],[0.00079139],[-0.41496233]
2025-07-23 22:15:00,118566.2,100000.0,[98136.56550043],[0.00079139],[-0.07379889]
2025-07-23 22:30:00,118548.1,100000.0,[98136.56550043],[0.00079139],[0.1713686]
2025-07-23 22:45:00,118537.9,100000.0,[98136.56550043],[0.00079139],[-0.29023211]
2025-07-23 23:00:00,118657.9,100000.0,[98136.56550043],[0.00079139],[0.80559375]
